Produto,Região,Dia,Mês,Ano,Moeda,Unidade,Preço
Alface Lisa - Roça,Teresópolis (região),10,6,2022,R$   ,Caixa 24 pés,"21,47"
Alface Americana - Roça,Teresópolis (região),3,6,2022,R$   ,Caixa 12 pés,"24,2"
Alface Crespa - Roça,Teresópolis (região),3,6,2022,R$   ,Caixa 24 pés,"24,13"
Alface Lisa - Roça,Teresópolis (região),3,6,2022,R$   ,Caixa 24 pés,"24,13"
Alface Americana - Roça,Teresópolis (região),27,5,2022,R$   ,Caixa 12 pés,"24,5"
Alface Crespa - Roça,Teresópolis (região),27,5,2022,R$   ,Caixa 24 pés,"23,87"
Alface Lisa - Roça,Teresópolis (região),27,5,2022,R$   ,Caixa 24 pés,"23,87"
Alface Americana - Roça,Teresópolis (região),20,5,2022,R$   ,Caixa 12 pés,18
Alface Americana - Roça,Teresópolis (região),20,5,2022,R$   ,Caixa 18 pés,15
Alface Crespa - Roça,Teresópolis (região),20,5,2022,R$   ,Caixa 24 pés,"20,2"
Alface Lisa - Roça,Teresópolis (região),20,5,2022,R$   ,Caixa 24 pés,"20,2"
Alface Americana - Roça,Teresópolis (região),13,5,2022,R$   ,Caixa 12 pés,"25,7"
Alface Crespa - Roça,Teresópolis (região),13,5,2022,R$   ,Caixa 24 pés,"24,13"
Alface Lisa - Roça,Teresópolis (região),13,5,2022,R$   ,Caixa 24 pés,"24,13"
Alface Americana - Roça,Teresópolis (região),29,4,2022,R$   ,Caixa 12 pés,20
Alface Crespa - Roça,Teresópolis (região),29,4,2022,R$   ,Caixa 24 pés,"20,67"
Alface Lisa - Roça,Teresópolis (região),29,4,2022,R$   ,Caixa 24 pés,"20,67"
Alface Americana - Roça,Teresópolis (região),22,4,2022,R$   ,Caixa 12 pés,20
Alface Crespa - Roça,Teresópolis (região),22,4,2022,R$   ,Caixa 24 pés,"18,83"
Alface Lisa - Roça,Teresópolis (região),22,4,2022,R$   ,Caixa 24 pés,"18,83"
Alface Americana - Roça,Teresópolis (região),14,4,2022,R$   ,Caixa 12 pés,16
Alface Crespa - Roça,Teresópolis (região),14,4,2022,R$   ,Caixa 24 pés,"16,9"
Alface Lisa - Roça,Teresópolis (região),14,4,2022,R$   ,Caixa 24 pés,"16,9"
Alface Americana - Roça,Teresópolis (região),7,4,2022,R$   ,Caixa 12 pés,15
Alface Crespa - Roça,Teresópolis (região),7,4,2022,R$   ,Caixa 24 pés,"14,5"
Alface Lisa - Roça,Teresópolis (região),7,4,2022,R$   ,Caixa 24 pés,"14,5"
Alface Americana - Roça,Teresópolis (região),31,3,2022,R$   ,Caixa 12 pés,"19,8"
Alface Crespa - Roça,Teresópolis (região),31,3,2022,R$   ,Caixa 24 pés,"17,2"
Alface Lisa - Roça,Teresópolis (região),31,3,2022,R$   ,Caixa 24 pés,"16,53"
Alface Americana - Roça,Teresópolis (região),25,3,2022,R$   ,Caixa 12 pés,"19,2"
Alface Crespa - Roça,Teresópolis (região),25,3,2022,R$   ,Caixa 24 pés,"15,47"
Alface Lisa - Roça,Teresópolis (região),25,3,2022,R$   ,Caixa 24 pés,"14,8"
Alface Americana - Roça,Teresópolis (região),18,3,2022,R$   ,Caixa 12 pés,"19,2"
Alface Crespa - Roça,Teresópolis (região),18,3,2022,R$   ,Caixa 24 pés,"16,8"
Alface Lisa - Roça,Teresópolis (região),18,3,2022,R$   ,Caixa 24 pés,"16,13"
Alface Americana - Roça,Teresópolis (região),11,3,2022,R$   ,Caixa 12 pés,"19,7"
Alface Crespa - Roça,Teresópolis (região),11,3,2022,R$   ,Caixa 24 pés,"17,47"
Alface Lisa - Roça,Teresópolis (região),11,3,2022,R$   ,Caixa 24 pés,"17,47"
Alface Americana - Roça,Teresópolis (região),4,3,2022,R$   ,Caixa 12 pés,"35,5"
Alface Crespa - Roça,Teresópolis (região),4,3,2022,R$   ,Caixa 24 pés,"35,67"
Alface Lisa - Roça,Teresópolis (região),4,3,2022,R$   ,Caixa 24 pés,"35,67"
Alface Americana - Roça,Teresópolis (região),25,2,2022,R$   ,Caixa 12 pés,"38,5"
Alface Crespa - Roça,Teresópolis (região),25,2,2022,R$   ,Caixa 24 pés,"37,67"
Alface Lisa - Roça,Teresópolis (região),25,2,2022,R$   ,Caixa 24 pés,"37,67"
Alface Americana - Roça,Teresópolis (região),18,2,2022,R$   ,Caixa 12 pés,"25,3"
Alface Crespa - Roça,Teresópolis (região),18,2,2022,R$   ,Caixa 24 pés,"34,07"
Alface Lisa - Roça,Teresópolis (região),18,2,2022,R$   ,Caixa 24 pés,"34,07"
Alface Americana - Roça,Teresópolis (região),10,2,2022,R$   ,Caixa 12 pés,"22,8"
Alface Crespa - Roça,Teresópolis (região),10,2,2022,R$   ,Caixa 24 pés,"30,4"
Alface Lisa - Roça,Teresópolis (região),10,2,2022,R$   ,Caixa 24 pés,"30,4"
Alface Americana - Roça,Teresópolis (região),4,2,2022,R$   ,Caixa 12 pés,"17,25"
Alface Crespa - Roça,Teresópolis (região),4,2,2022,R$   ,Caixa 24 pés,"24,33"
Alface Lisa - Roça,Teresópolis (região),4,2,2022,R$   ,Caixa 24 pés,"24,33"
Alface Americana - Roça,Teresópolis (região),28,1,2022,R$   ,Caixa 12 pés,"17,25"
Alface Crespa - Roça,Teresópolis (região),28,1,2022,R$   ,Caixa 24 pés,"24,33"
Alface Lisa - Roça,Teresópolis (região),28,1,2022,R$   ,Caixa 24 pés,"24,33"
Alface Americana - Roça,Teresópolis (região),21,1,2022,R$   ,Caixa 12 pés,"17,61"
Alface Crespa - Roça,Teresópolis (região),21,1,2022,R$   ,Caixa 24 pés,"22,67"
Alface Lisa - Roça,Teresópolis (região),21,1,2022,R$   ,Caixa 24 pés,"22,67"
Alface Americana - Roça,Teresópolis (região),14,1,2022,R$   ,Caixa 12 pés,"13,75"
Alface Crespa - Roça,Teresópolis (região),14,1,2022,R$   ,Caixa 24 pés,"18,33"
Alface Lisa - Roça,Teresópolis (região),14,1,2022,R$   ,Caixa 24 pés,"18,33"
Alface Americana - Roça,Teresópolis (região),7,1,2022,R$   ,Caixa 12 pés,"10,5"
Alface Crespa - Roça,Teresópolis (região),7,1,2022,R$   ,Caixa 24 pés,10
Alface Lisa - Roça,Teresópolis (região),7,1,2022,R$   ,Caixa 24 pés,10
