model,save_path,in_size,out_size,keep_only,RMSE,MAE,RMSE_by_timestep,MAE_by_timestep,loss,val_loss
V0,saved_models/model_V0.12,8,8,None,0.4237276957645932,0.30994216505945155,"0.31389774770558176,0.39599158273284146,0.40551128313730883,0.43796683270159625,0.44491025579965177,0.45910581003739503,0.46627999245733626,0.445674199908097","0.2303266336509943,0.2831591891831054,0.29433227250752914,0.3184951649251786,0.32455168964653347,0.33523161052944744,0.34947656009097466,0.34396419994184985","0.08734963834285736,0.06398147344589233,0.04712022468447685,0.03425968438386917,0.028473597019910812,0.026440231129527092,0.027249693870544434,0.02828792668879032","0.6403409838676453,0.5426846742630005,0.45313504338264465,0.37553027272224426,0.3167325258255005,0.2817419767379761,0.26901963353157043,0.27370381355285645"
V0,saved_models/model_V0.13,8,8,None,0.4236271303642449,0.30934192968406543,"0.3084896013241366,0.361055863152176,0.4271931541230055,0.43874342564287494,0.45153580233869806,0.44911325463896123,0.4494081626440947,0.47708240042142797","0.22839262435727917,0.26129650664031123,0.30842655886402986,0.31955214614163585,0.3315925251119791,0.33080007661116284,0.3340588743022854,0.3606161254438405","0.1097552552819252,0.08823346346616745,0.0693209171295166,0.05325224623084068,0.04005570337176323,0.03033112920820713,0.026623958721756935,0.027006812393665314,0.027530333027243614,0.02774355746805668","0.7447205185890198,0.6593537330627441,0.5752835273742676,0.4924498498439789,0.41422975063323975,0.3466756045818329,0.29753828048706055,0.27095237374305725,0.26469168066978455,0.27302417159080505"
V0,saved_models/model_V0.14,8,8,None,0.4322970190175386,0.31644939077494993,"0.352397827239422,0.40543525741694164,0.45044898493336766,0.43829258888726713,0.4435240551878186,0.4433391846589952,0.4376145369692071,0.47614004238214014","0.25553964043691735,0.29023256518442836,0.32483257427683276,0.3191099499114516,0.3266675168132064,0.3265489913353301,0.3243610906767983,0.3643027975646345","0.08598163723945618,0.06492770463228226,0.04993418976664543,0.03801683336496353,0.02999960444867611,0.0272366963326931,0.026428155601024628,0.027277681976556778,0.027400579303503036","0.635184109210968,0.5474439263343811,0.4663473069667816,0.39435458183288574,0.33597955107688904,0.2960808575153351,0.27555152773857117,0.2718571424484253,0.2803397476673126"
V0,saved_models/model_V0.15,8,8,None,0.4216628818342687,0.3102791709538648,"0.3311643216799522,0.3859528241621745,0.41857205296070915,0.41735114130490547,0.430197030284917,0.45706376368539875,0.4502113350562622,0.46660019618526366","0.2434546036267277,0.2782111511274749,0.30297736136719045,0.3036318981763477,0.31665885884118844,0.34169497973948904,0.3381537104632776,0.3574508042892233","0.08422490209341049,0.06129199638962746,0.045064911246299744,0.033761415630578995,0.029072504490613937,0.0280693881213665,0.028480907902121544,0.028876550495624542","0.6034696698188782,0.5078362822532654,0.4230246841907501,0.3525111675262451,0.30115050077438354,0.27168652415275574,0.2618109881877899,0.26710331439971924"
V0,saved_models/model_V0.16,8,8,None,0.4223119508601926,0.30972651000637463,"0.3379783890486971,0.3863861190620989,0.3851846634179986,0.4376018449944732,0.4278267681652684,0.4575698537724533,0.4475088016048493,0.4803361369062458","0.24573521891740427,0.2785624347138614,0.2768530754135944,0.3198146590254912,0.31443817130009377,0.34150484882478643,0.33363037431682296,0.3672732975389431","0.1050744354724884,0.08303001523017883,0.06477028131484985,0.04892977699637413,0.03852880746126175,0.03101181425154209,0.02842533029615879,0.027954423800110817,0.027712220326066017,0.02749437279999256","0.6875123977661133,0.6015579700469971,0.5211504101753235,0.4461841583251953,0.3792780637741089,0.32522016763687134,0.2881191074848175,0.2687316834926605,0.2646154463291168,0.27104654908180237"
V0,saved_models/model_V0.17,8,8,None,0.4273149992088433,0.314379044341663,"0.3503266729176369,0.3987629138211804,0.4170782211688879,0.43189522533148494,0.4418996512773236,0.46126542590979375,0.4551550878891164,0.4509426260473501","0.253287594875292,0.28560106392881496,0.301626839313637,0.31554507560476047,0.325728477469069,0.3447031934239034,0.34241445524990133,0.3461256548679263","0.09622877091169357,0.07554309070110321,0.05833728611469269,0.044217269867658615,0.03503918647766113,0.029217666015028954,0.027081580832600594,0.027644271031022072,0.027743535116314888,0.027847355231642723","0.6713711619377136,0.5883081555366516,0.5090416073799133,0.4340120255947113,0.3667791783809662,0.3128102719783783,0.27733102440834045,0.26096415519714355,0.26003217697143555,0.2705158293247223"
V0,saved_models/model_V0.18,8,8,None,0.4289766212575821,0.31480303072904176,"0.3123027424662091,0.4232128460892441,0.4200955799747161,0.4416339281677031,0.43614306234663847,0.46813101842960747,0.455346490446914,0.45529852427083395","0.23103759831796014,0.3023046128836172,0.3039877792931902,0.32219382286980935,0.31810949388243975,0.3459034049439677,0.3445557053779971,0.35033182826335296","0.09085021167993546,0.0712876170873642,0.053769901394844055,0.04092211648821831,0.03141217306256294,0.027355749160051346,0.026712115854024887,0.027521442621946335,0.028485087677836418","0.6635998487472534,0.5760342478752136,0.49249252676963806,0.41563680768013,0.3506784439086914,0.30344897508621216,0.2776493728160858,0.27091673016548157,0.27839425206184387"
V0,saved_models/model_V0.19,8,8,None,0.425742859491278,0.31221425345391607,"0.3540835254539682,0.39318220843107976,0.4236926289241455,0.4198945479526883,0.4500170869188134,0.45428038276200794,0.4564024846619276,0.4439282817594639","0.2533418680381798,0.28163790909128505,0.3066286373477621,0.30609799878411464,0.3295530704726104,0.3353092230482646,0.34445839966652547,0.34068692118258703","0.09752438217401505,0.07437627017498016,0.056012630462646484,0.041683346033096313,0.03239147365093231,0.027220316231250763,0.026780566200613976,0.02749413065612316,0.02833643928170204","0.6840168833732605,0.587531328201294,0.49909162521362305,0.4197502136230469,0.35298535227775574,0.3034456670284271,0.27450689673423767,0.26463305950164795,0.26912084221839905"
V0,saved_models/model_V0.20,8,8,None,0.4258472819486232,0.3123844722132394,"0.33778134005747745,0.376782921334515,0.41930265254247634,0.44813628525321525,0.43234238500898164,0.43756443467835443,0.4609382891156381,0.4766740327631065","0.24695589559121964,0.2714180735260132,0.3025037952274119,0.3260799863598952,0.3197010363359167,0.32216827395513986,0.3474224368266041,0.362826279883715","0.09109757095575333,0.07078266143798828,0.05391975864768028,0.03998846560716629,0.03162989765405655,0.02780803106725216,0.02825022302567959,0.02789510414004326,0.0280169490724802","0.6470944881439209,0.560985267162323,0.4790983200073242,0.4037024676799774,0.33999767899513245,0.2946206033229828,0.2708081901073456,0.2657984793186188,0.27431610226631165"
V0,saved_models/model_V0.21,8,8,7,0.44465364429960935,0.3376536186840008,"0.44465364429960935","0.3376536186840008","0.10069172084331512,0.05302004888653755,0.03352158144116402,0.0325259305536747,0.038413066416978836,0.03627931699156761","0.6741912364959717,0.461330384016037,0.32874688506126404,0.2720944881439209,0.2695763409137726,0.3015687167644501"
